raw_title,normalized_title,category
Lead Data Scientist,Lead Data Scientist,Research
Junior Full Stack Engineer,Junior Full Stack Engineer,Technology
GCP Cloud Engineer,GCP Cloud Engineer,Technology
Applied Research Scientist,Applied Research Scientist,Research
Senior JavaScript Developer,Senior JavaScript Developer,Technology
Senior ML Engineer,Senior ML Engineer,Research
Chief Executive Officer,Chief Executive Officer,Executive
Senior Database Administrator,Senior Database Administrator,Technology
Angular Developer,Angular Developer,Technology
JavaScript Web Developer,JavaScript Web Developer,Technology
Junior Data Analyst,Junior Data Analyst,Business
COO,COO,Executive
Cloud Engineer,Cloud Engineer,Technology
JavaScript Developer,JavaScript Developer,Technology
Chief Technology Officer,Chief Technology Officer,Executive
Lead Data Analyst,Lead Data Analyst,Business
Lead Auditor,Lead Auditor,Certification
Senior Consultant,Senior Consultant,Certification
Junior Backend Engineer,Junior Backend Engineer,Technology
Junior Network Engineer,Junior Network Engineer,Technology
Digital Marketing Manager,Digital Marketing Manager,Business
Training Manager,Training Manager,Certification
JavaScript Software Engineer,JavaScript Software Engineer,Technology
Senior Product Manager,Senior Product Manager,Business
Senior Academic Researcher,Senior Academic Researcher,Research
Senior Frontend Engineer,Senior Frontend Engineer,Technology
Senior Node.js Developer,Senior Node.js Developer,Technology
Python Software Engineer,Python Software Engineer,Technology
Lead Backend Engineer,Lead Backend Engineer,Technology
Junior Java Developer,Junior Java Developer,Technology
Senior Researcher,Senior Researcher,Education
Teacher,Teacher,Education
Senior Research Analyst,Senior Research Analyst,Research
Senior Mobile Developer,Senior Mobile Developer,Technology
Senior Research Scientist,Senior Research Scientist,Research
Principal Data Analyst,Principal Data Analyst,Business
Python Frontend Developer,Python Frontend Developer,Technology
Lead Network Engineer,Lead Network Engineer,Technology
Junior Mobile Developer,Junior Mobile Developer,Technology
Java Software Engineer,Java Software Engineer,Technology
Sales Manager,Sales Manager,Business
Chief Marketing Officer,Chief Marketing Officer,Executive
Lead JavaScript Developer,Lead JavaScript Developer,Technology
Frontend Developer,Frontend Developer,Technology
Sr Data Scientist,Senior Data Scientist,Research
Data Platform Engineer,Data Platform Engineer,Technology
Vice President,Vice President,Executive
Senior Python Developer,Senior Python Developer,Technology
Corporate Trainer,Corporate Trainer,Certification
Deep Learning Engineer,Deep Learning Engineer,Technology
React Developer,React Developer,Technology
CHRO,CHRO,Executive
Operations Manager,Operations Manager,Business
QA Engineer,QA Engineer,Technology
Product Owner,Product Owner,Business
Junior Software Engineer,Junior Software Engineer,Technology
Client Manager,Client Manager,Business
Lead Data Engineer,Lead Data Engineer,Technology
Sr Software Engineer,Senior Software Engineer,Technology
Principal Business Analyst,Principal Business Analyst,Business
Senior Data Scientist,Senior Data Scientist,Research
Principal Software Engineer,Principal Software Engineer,Technology
Angular Frontend Developer,Angular Frontend Developer,Technology
Managing Director,Managing Director,Executive
JavaScript Frontend Developer,JavaScript Frontend Developer,Technology
Lead Frontend Engineer,Lead Frontend Engineer,Technology
Senior Solutions Architect,Senior Solutions Architect,Technology
Database Administrator,Database Administrator,Technology
Product Marketing Manager,Product Marketing Manager,Business
Frontend Engineer,Frontend Engineer,Technology
Talent Manager,Talent Manager,Business
Associate Product Manager,Associate Product Manager,Business
Associate Engineer,Associate Engineer,Technology
IT Operations Manager,IT Operations Manager,Business
Lead React Developer,Lead React Developer,Technology
Cloud DevOps Engineer,Cloud DevOps Engineer,Technology
Senior Auditor,Senior Auditor,Certification
Lead Angular Developer,Lead Angular Developer,Technology
Junior Project Manager,Junior Project Manager,Business
Senior Data Analyst,Senior Data Analyst,Business
Senior Instructor,Senior Instructor,Education
Lead Teacher,Lead Teacher,Education
Senior System Administrator,Senior System Administrator,Technology
DBA,DBA,Technology
Chief Financial Officer,Chief Financial Officer,Executive
Network Engineer,Network Engineer,Technology
Software Architect,Software Architect,Technology
Data Warehouse Engineer,Data Warehouse Engineer,Technology
Business Systems Analyst,Business Systems Analyst,Business
Senior Security Engineer,Senior Security Engineer,Technology
Principal DevOps Engineer,Principal DevOps Engineer,Technology
Research Associate,Research Associate,Research
Program Manager,Program Manager,Business
Senior Vice President,Senior Vice President,Executive
Senior Software Engineer,Senior Software Engineer,Technology
Senior Internal Auditor,Senior Internal Auditor,Certification
Financial Analyst,Financial Analyst,Business
Lecturer,Lecturer,Education
Data Scientist,Data Scientist,Research
HR Manager,HR Manager,Business
Business Data Analyst,Business Data Analyst,Business
Java Frontend Developer,Java Frontend Developer,Technology
Business Analyst,Business Analyst,Business
Brand Manager,Brand Manager,Business
Junior Machine Learning Engineer,Junior Machine Learning Engineer,Technology
Senior Sales Manager,Senior Sales Manager,Business
Vice Principal,Vice Principal,Education
Senior Angular Developer,Senior Angular Developer,Technology
Cybersecurity Engineer,Cybersecurity Engineer,Technology
Portfolio Manager,Portfolio Manager,Business
Junior React Developer,Junior React Developer,Technology
Principal JavaScript Developer,Principal JavaScript Developer,Technology
Management Consultant,Management Consultant,Certification
Java Developer,Java Developer,Technology
Backend Developer,Backend Developer,Technology
Associate Professor,Associate Professor,Education
Application Security Engineer,Application Security Engineer,Technology
Technical Project Manager,Technical Project Manager,Business
Postdoctoral Researcher,Postdoctoral Researcher,Research
Azure Cloud Engineer,Azure Cloud Engineer,Technology
Lead Product Manager,Lead Product Manager,Business
Java Web Developer,Java Web Developer,Technology
School Administrator,School Administrator,Education
Senior Marketing Manager,Senior Marketing Manager,Business
Junior Cloud Engineer,Junior Cloud Engineer,Technology
Senior DevOps Engineer,Senior DevOps Engineer,Technology
CMO,CMO,Executive
Lead Python Developer,Lead Python Developer,Technology
Big Data Engineer,Big Data Engineer,Technology
Principal Research Scientist,Principal Research Scientist,Research
Junior Product Manager,Junior Product Manager,Business
Lead Project Manager,Lead Project Manager,Business
Principal Product Manager,Principal Product Manager,Business
Executive Director,Executive Director,Executive
Technical Consultant,Technical Consultant,Certification
CIO,CIO,Executive
Technical Business Analyst,Technical Business Analyst,Business
Full Stack Software Engineer,Full Stack Software Engineer,Technology
Senior Technical Lead,Senior Technical Lead,Technology
Flutter Developer,Flutter Developer,Technology
Senior Professor,Senior Professor,Education
Senior Operations Manager,Senior Operations Manager,Business
Principal,Principal,Education
Senior Financial Analyst,Senior Financial Analyst,Business
Senior Machine Learning Engineer,Senior Machine Learning Engineer,Technology
Senior Project Manager,Senior Project Manager,Business
Marketing Manager,Marketing Manager,Business
Junior Database Administrator,Junior Database Administrator,Technology
CEO,CEO,Executive
Network Administrator,Network Administrator,Technology
Enterprise Architect,Enterprise Architect,Technology
Sr Data Analyst,Senior Data Analyst,Business
Principal Technical Lead,Principal Technical Lead,Technology
Senior Data Engineer,Senior Data Engineer,Technology
Business Analytics Manager,Business Analytics Manager,Business
Sr Business Analyst,Senior Business Analyst,Business
CTO,CTO,Executive
iOS Developer,iOS Developer,Technology
Cloud Solutions Architect,Cloud Solutions Architect,Technology
Chief Information Officer,Chief Information Officer,Executive
Data Researcher,Data Researcher,Research
Software Engineer,Software Engineer,Technology
Associate Developer,Associate Developer,Technology
Professor,Professor,Education
Junior Data Scientist,Junior Data Scientist,Technology
Auditor,Auditor,Certification
Senior React Developer,Senior React Developer,Technology
Lead Consultant,Lead Consultant,Certification
Senior Market Researcher,Senior Market Researcher,Research
Technical Architect,Technical Architect,Technology
Solutions Architect,Solutions Architect,Technology
Backend Engineer,Backend Engineer,Technology
Test Automation Engineer,Test Automation Engineer,Technology
Senior External Auditor,Senior External Auditor,Certification
Junior QA Engineer,Junior QA Engineer,Technology
Lead Software Engineer,Lead Software Engineer,Technology
Azure Cloud Architect,Azure Cloud Architect,Technology
Lead Technical Architect,Lead Technical Architect,Technology
Lead Research Scientist,Lead Research Scientist,Research
Director,Director,Executive
ML Developer,ML Developer,Research
Principal Data Engineer,Principal Data Engineer,Technology
Senior Lecturer,Senior Lecturer,Education
Lead Database Administrator,Lead Database Administrator,Technology
Technical Trainer,Technical Trainer,Certification
Executive Vice President,Executive Vice President,Executive
Lead DevOps Engineer,Lead DevOps Engineer,Technology
Full Stack JavaScript Developer,Full Stack JavaScript Developer,Technology
Senior Cloud Engineer,Senior Cloud Engineer,Technology
System Administrator,System Administrator,Technology
Entry Level Developer,Entry Level Developer,Technology
Senior Program Manager,Senior Program Manager,Business
Full Stack Java Developer,Full Stack Java Developer,Technology
External Auditor,External Auditor,Certification
Machine Learning Developer,Machine Learning Developer,Research
Lead QA Engineer,Lead QA Engineer,Technology
Senior Backend Developer,Senior Backend Developer,Technology
Cloud Network Engineer,Cloud Network Engineer,Technology
Chief Human Resources Officer,Chief Human Resources Officer,Executive
Platform Engineer,Platform Engineer,Technology
