raw_title,normalized_title,category
Bartender,Bartender,General
Sommelier,Sommelier,General
Cashier,Cashier,General
Stocker,Stocker,General
Merchandiser,Merchandiser,General
Sales Associate,Sales Associate,General
Customer Service,Customer Service,General
Representative,Representative,General
Agent,Agent,General
Broker,Broker,General
Advisor,Advisor,General
Consultant,Consultant,General
Analyst,Analyst,General
Specialist,Specialist,General
Coordinator,Coordinator,General
Manager,Manager,General
Supervisor,Supervisor,General
Director,Director,General
Officer,Officer,General
Executive,Executive,General
Assistant,Assistant,General
Associate,Associate,General
Partner,Partner,General
Owner,Owner,General
Founder,Founder,General
Principal,Principal,General
Senior,Senior,General
Lead,Lead,General
Head,Head,General
Chief,Chief,General
President,President,General
Vice President,Vice President,General
CEO,Chief Executive Officer,Executive
CTO,Chief Technology Officer,Executive
CFO,Chief Financial Officer,Executive
COO,Chief Operating Officer,Executive
CMO,Chief Marketing Officer,Executive
CIO,Chief Information Officer,Executive
CSO,Chief Security Officer,Executive
CPO,Chief Product Officer,Executive
CHRO,Chief Human Resources Officer,Executive
CCO,Chief Compliance Officer,Executive
CLO,Chief Legal Officer,Executive
CAO,Chief Administrative Officer,Executive
CKO,Chief Knowledge Officer,Executive
CDO,Chief Data Officer,Executive
CRO,Chief Risk Officer,Executive
CSO,Chief Strategy Officer,Executive
CVO,Chief Visionary Officer,Executive
CWO,Chief Wellness Officer,Executive
CJO,Chief Innovation Officer,Executive
CXO,Chief Experience Officer,Executive
CCO,Chief Creative Officer,Executive
CPO,Chief People Officer,Executive
CFO,Chief Financial Officer,Executive
CMO,Chief Marketing Officer,Executive
CTO,Chief Technology Officer,Executive
COO,Chief Operating Officer,Executive
CIO,Chief Information Officer,Executive
CSO,Chief Security Officer,Executive
CHRO,Chief Human Resources Officer,Executive
CCO,Chief Compliance Officer,Executive
CLO,Chief Legal Officer,Executive
CAO,Chief Administrative Officer,Executive
CKO,Chief Knowledge Officer,Executive
CDO,Chief Data Officer,Executive
CRO,Chief Risk Officer,Executive
CSO,Chief Strategy Officer,Executive
CVO,Chief Visionary Officer,Executive
CWO,Chief Wellness Officer,Executive
CJO,Chief Innovation Officer,Executive
CXO,Chief Experience Officer,Executive
CCO,Chief Creative Officer,Executive
CPO,Chief People Officer,Executive
Senior Software Developer,Senior Software Developer,Technology
Lead Software Engineer,Lead Software Engineer,Technology
Principal Software Engineer,Principal Software Engineer,Technology
Staff Software Engineer,Staff Software Engineer,Technology
Senior Frontend Developer,Senior Frontend Developer,Technology
Senior Backend Developer,Senior Backend Developer,Technology
Senior Mobile Developer,Senior Mobile Developer,Technology
Senior Data Scientist,Senior Data Scientist,Technology
Senior Machine Learning Engineer,Senior Machine Learning Engineer,Technology
Senior DevOps Engineer,Senior DevOps Engineer,Technology
Senior Cloud Engineer,Senior Cloud Engineer,Technology
Senior Security Engineer,Senior Security Engineer,Technology
Senior QA Engineer,Senior QA Engineer,Technology
Senior Test Engineer,Senior Test Engineer,Technology
Senior UX Designer,Senior UX Designer,Design
Senior UI Designer,Senior UI Designer,Design
Senior Product Designer,Senior Product Designer,Design
Senior Graphic Designer,Senior Graphic Designer,Design
Senior Web Designer,Senior Web Designer,Design
Senior Marketing Manager,Senior Marketing Manager,Marketing
Senior Digital Marketing Manager,Senior Digital Marketing Manager,Marketing
Senior Content Manager,Senior Content Manager,Marketing
Senior Sales Manager,Senior Sales Manager,Sales
Senior Account Manager,Senior Account Manager,Sales
Senior Business Development Manager,Senior Business Development Manager,Sales
Senior Sales Engineer,Senior Sales Engineer,Sales
Senior Customer Success Manager,Senior Customer Success Manager,Service
Senior Support Engineer,Senior Support Engineer,Service
Senior HR Manager,Senior HR Manager,Human Resources
Senior Finance Manager,Senior Finance Manager,Finance
Senior Financial Analyst,Senior Financial Analyst,Finance
Senior Operations Manager,Senior Operations Manager,Operations
Senior Supply Chain Manager,Senior Supply Chain Manager,Operations
Senior Logistics Manager,Senior Logistics Manager,Operations
Senior Research Scientist,Senior Research Scientist,Research
Senior Research Engineer,Senior Research Engineer,Research
Senior Professor,Senior Professor,Education
Senior Associate Professor,Senior Associate Professor,Education
Senior Assistant Professor,Senior Assistant Professor,Education
Senior Teacher,Senior Teacher,Education
Senior Instructor,Senior Instructor,Education
Senior Trainer,Senior Trainer,Education
Senior Lawyer,Senior Lawyer,Legal
Senior Attorney,Senior Attorney,Legal
Senior Legal Counsel,Senior Legal Counsel,Legal
Senior Doctor,Senior Doctor,Healthcare
Senior Physician,Senior Physician,Healthcare
Senior Surgeon,Senior Surgeon,Healthcare
Senior Nurse,Senior Nurse,Healthcare
Senior Registered Nurse,Senior Registered Nurse,Healthcare
Senior Medical Assistant,Senior Medical Assistant,Healthcare
Senior Pharmacist,Senior Pharmacist,Healthcare
Senior Physical Therapist,Senior Physical Therapist,Healthcare
Senior Occupational Therapist,Senior Occupational Therapist,Healthcare
Senior Dentist,Senior Dentist,Healthcare
Senior Veterinarian,Senior Veterinarian,Healthcare
Senior Psychologist,Senior Psychologist,Healthcare
Senior Therapist,Senior Therapist,Healthcare
Senior Social Worker,Senior Social Worker,Healthcare
Senior Artist,Senior Artist,Creative
Senior Designer,Senior Designer,Creative
Senior Writer,Senior Writer,Creative
Senior Author,Senior Author,Creative
Senior Journalist,Senior Journalist,Creative
Senior Photographer,Senior Photographer,Creative
Senior Videographer,Senior Videographer,Creative
Senior Editor,Senior Editor,Creative
Senior Content Creator,Senior Content Creator,Creative
Senior Mobile Developer,Senior Mobile Developer,Technology
Senior iOS Developer,Senior iOS Developer,Technology
Senior Android Developer,Senior Android Developer,Technology
Senior React Developer,Senior React Developer,Technology
Senior Angular Developer,Senior Angular Developer,Technology
Senior Vue Developer,Senior Vue Developer,Technology
Senior Node.js Developer,Senior Node.js Developer,Technology
Senior Python Developer,Senior Python Developer,Technology
Senior Java Developer,Senior Java Developer,Technology
Senior C++ Developer,Senior C++ Developer,Technology
Senior C# Developer,Senior C# Developer,Technology
Senior PHP Developer,Senior PHP Developer,Technology
Senior Ruby Developer,Senior Ruby Developer,Technology
Senior Go Developer,Senior Go Developer,Technology
Senior Rust Developer,Senior Rust Developer,Technology
Senior Kotlin Developer,Senior Kotlin Developer,Technology
Senior Swift Developer,Senior Swift Developer,Technology
Senior Database Administrator,Senior Database Administrator,Technology
Senior Network Engineer,Senior Network Engineer,Technology
Senior System Administrator,Senior System Administrator,Technology
Senior IT Manager,Senior IT Manager,Technology
Senior IT Support,Senior IT Support,Technology
Senior Help Desk,Senior Help Desk,Technology
Senior Desktop Support,Senior Desktop Support,Technology
Senior Network Admin,Senior Network Administrator,Technology
Senior Security Analyst,Senior Security Analyst,Technology
Senior Cybersecurity Analyst,Senior Cybersecurity Analyst,Technology
Senior Information Security,Senior Information Security,Technology
Senior Penetration Tester,Senior Penetration Tester,Technology
Senior Ethical Hacker,Senior Ethical Hacker,Technology
Senior Compliance Officer,Senior Compliance Officer,Legal
Senior Risk Manager,Senior Risk Manager,Finance
Senior Audit Manager,Senior Audit Manager,Finance
Senior Internal Auditor,Senior Internal Auditor,Finance
Senior External Auditor,Senior External Auditor,Finance
Senior Tax Manager,Senior Tax Manager,Finance
Senior Tax Analyst,Senior Tax Analyst,Finance
Senior Bookkeeper,Senior Bookkeeper,Finance
Senior Payroll Specialist,Senior Payroll Specialist,Finance
Senior Benefits Specialist,Senior Benefits Specialist,Human Resources
Senior Compensation Analyst,Senior Compensation Analyst,Human Resources
Senior Training Manager,Senior Training Manager,Human Resources
Senior Learning and Development,Senior Learning and Development,Human Resources
Senior L&D Specialist,Senior L&D Specialist,Human Resources
Senior Organizational Development,Senior Organizational Development,Human Resources
Senior HR Generalist,Senior HR Generalist,Human Resources
Senior HR Business Partner,Senior HR Business Partner,Human Resources
Senior Talent Manager,Senior Talent Manager,Human Resources
Senior People Manager,Senior People Manager,Human Resources
Senior Culture Manager,Senior Culture Manager,Human Resources
Senior Employee Engagement,Senior Employee Engagement,Human Resources
Senior Performance Manager,Senior Performance Manager,Human Resources
Senior Learning Manager,Senior Learning Manager,Human Resources
Senior Development Manager,Senior Development Manager,Human Resources
Senior Career Coach,Senior Career Coach,Human Resources
Senior Executive Coach,Senior Executive Coach,Human Resources
Senior Life Coach,Senior Life Coach,Service
Senior Career Counselor,Senior Career Counselor,Service
Senior Advisor,Senior Advisor,Service
Senior Specialist,Senior Specialist,General
Senior Coordinator,Senior Coordinator,General
Senior Associate,Senior Associate,General
Senior Assistant,Senior Assistant,General
Junior Software Engineer,Junior Software Engineer,Technology
Junior Data Engineer,Junior Data Engineer,Technology
Junior ML Engineer,Junior Machine Learning Engineer,Technology
Junior AI Engineer,Junior Artificial Intelligence Engineer,Technology
Junior DevOps Engineer,Junior DevOps Engineer,Technology
Junior Cloud Engineer,Junior Cloud Engineer,Technology
Junior Security Engineer,Junior Security Engineer,Technology
Junior QA Engineer,Junior Quality Assurance Engineer,Technology
Junior Test Engineer,Junior Test Engineer,Technology
Junior Product Manager,Junior Product Manager,Business
Junior Business Analyst,Junior Business Analyst,Business
Junior Data Analyst,Junior Data Analyst,Business
Junior Consultant,Junior Consultant,Business
Junior Project Manager,Junior Project Manager,Business
Junior Program Manager,Junior Program Manager,Business
Junior Scrum Master,Junior Scrum Master,Business
Junior Agile Coach,Junior Agile Coach,Business
Junior UX Designer,Junior UX Designer,Design
Junior UI Designer,Junior UI Designer,Design
Junior Product Designer,Junior Product Designer,Design
Junior Designer,Junior Designer,Design
Junior Design Lead,Junior Design Lead,Design
Junior Marketing Manager,Junior Marketing Manager,Marketing
Junior Digital Marketing Manager,Junior Digital Marketing Manager,Marketing
Junior Content Manager,Junior Content Manager,Marketing
Junior Sales Manager,Junior Sales Manager,Sales
Junior Account Manager,Junior Account Manager,Sales
Junior Business Development Manager,Junior Business Development Manager,Sales
Junior Sales Engineer,Junior Sales Engineer,Sales
Junior Customer Success Manager,Junior Customer Success Manager,Service
Junior Support Engineer,Junior Support Engineer,Service
Junior Technical Support,Junior Technical Support,Service
Junior HR Manager,Junior HR Manager,Human Resources
Junior Recruiter,Junior Recruiter,Human Resources
Junior Talent Acquisition,Junior Talent Acquisition,Human Resources
Junior Finance Manager,Junior Finance Manager,Finance
Junior Financial Analyst,Junior Financial Analyst,Finance
Junior Accountant,Junior Accountant,Finance
Junior Operations Manager,Junior Operations Manager,Operations
Junior Supply Chain Manager,Junior Supply Chain Manager,Operations
Junior Logistics Manager,Junior Logistics Manager,Operations
Junior Research Scientist,Junior Research Scientist,Research
Junior Data Scientist,Junior Data Scientist,Research
Junior Research Engineer,Junior Research Engineer,Research
Junior Professor,Junior Professor,Education
Junior Associate Professor,Junior Associate Professor,Education
Junior Assistant Professor,Junior Assistant Professor,Education
Junior Teacher,Junior Teacher,Education
Junior Instructor,Junior Instructor,Education
Junior Trainer,Junior Trainer,Education
Junior Lawyer,Junior Lawyer,Legal
Junior Attorney,Junior Attorney,Legal
Junior Legal Counsel,Junior Legal Counsel,Legal
Junior Doctor,Junior Doctor,Healthcare
Junior Physician,Junior Physician,Healthcare
Junior Surgeon,Junior Surgeon,Healthcare
Junior Nurse,Junior Nurse,Healthcare
Junior Registered Nurse,Junior Registered Nurse,Healthcare
Junior Medical Assistant,Junior Medical Assistant,Healthcare
Junior Pharmacist,Junior Pharmacist,Healthcare
Junior Physical Therapist,Junior Physical Therapist,Healthcare
Junior Occupational Therapist,Junior Occupational Therapist,Healthcare
Junior Dentist,Junior Dentist,Healthcare
Junior Veterinarian,Junior Veterinarian,Healthcare
Junior Psychologist,Junior Psychologist,Healthcare
Junior Therapist,Junior Therapist,Healthcare
Junior Social Worker,Junior Social Worker,Healthcare
Junior Artist,Junior Artist,Creative
Junior Designer,Junior Designer,Creative
Junior Writer,Junior Writer,Creative
Junior Author,Junior Author,Creative
Junior Journalist,Junior Journalist,Creative
Junior Photographer,Junior Photographer,Creative
Junior Videographer,Junior Videographer,Creative
Junior Editor,Junior Editor,Creative
Junior Content Creator,Junior Content Creator,Creative
Junior Graphic Designer,Junior Graphic Designer,Creative
Junior Web Designer,Junior Web Designer,Creative
Junior Mobile Developer,Junior Mobile Developer,Technology
Junior iOS Developer,Junior iOS Developer,Technology
Junior Android Developer,Junior Android Developer,Technology
Junior React Developer,Junior React Developer,Technology
Junior Angular Developer,Junior Angular Developer,Technology
Junior Vue Developer,Junior Vue Developer,Technology
Junior Node.js Developer,Junior Node.js Developer,Technology
Junior Python Developer,Junior Python Developer,Technology
Junior Java Developer,Junior Java Developer,Technology
Junior C++ Developer,Junior C++ Developer,Technology
Junior C# Developer,Junior C# Developer,Technology
Junior PHP Developer,Junior PHP Developer,Technology
Junior Ruby Developer,Junior Ruby Developer,Technology
Junior Go Developer,Junior Go Developer,Technology
Junior Rust Developer,Junior Rust Developer,Technology
Junior Kotlin Developer,Junior Kotlin Developer,Technology
Junior Swift Developer,Junior Swift Developer,Technology
Junior Database Administrator,Junior Database Administrator,Technology
Junior Network Engineer,Junior Network Engineer,Technology
Junior System Administrator,Junior System Administrator,Technology
Junior IT Manager,Junior IT Manager,Technology
Junior IT Support,Junior IT Support,Technology
Junior Help Desk,Junior Help Desk,Technology
Junior Desktop Support,Junior Desktop Support,Technology
Junior Network Admin,Junior Network Administrator,Technology
Junior Security Analyst,Junior Security Analyst,Technology
Junior Cybersecurity Analyst,Junior Cybersecurity Analyst,Technology
Junior Information Security,Junior Information Security,Technology
Junior Penetration Tester,Junior Penetration Tester,Technology
Junior Ethical Hacker,Junior Ethical Hacker,Technology
Junior Compliance Officer,Junior Compliance Officer,Legal
Junior Risk Manager,Junior Risk Manager,Finance
Junior Audit Manager,Junior Audit Manager,Finance
Junior Internal Auditor,Junior Internal Auditor,Finance
Junior External Auditor,Junior External Auditor,Finance
Junior Tax Manager,Junior Tax Manager,Finance
Junior Tax Analyst,Junior Tax Analyst,Finance
Junior Bookkeeper,Junior Bookkeeper,Finance
Junior Payroll Specialist,Junior Payroll Specialist,Finance
Junior Benefits Specialist,Junior Benefits Specialist,Human Resources
Junior Compensation Analyst,Junior Compensation Analyst,Human Resources
Junior Training Manager,Junior Training Manager,Human Resources
Junior Learning and Development,Junior Learning and Development,Human Resources
Junior L&D Specialist,Junior L&D Specialist,Human Resources
Junior Organizational Development,Junior Organizational Development,Human Resources
Junior HR Generalist,Junior HR Generalist,Human Resources
Junior HR Business Partner,Junior HR Business Partner,Human Resources
Junior Talent Manager,Junior Talent Manager,Human Resources
Junior People Manager,Junior People Manager,Human Resources
Junior Culture Manager,Junior Culture Manager,Human Resources
Junior Employee Engagement,Junior Employee Engagement,Human Resources
Junior Performance Manager,Junior Performance Manager,Human Resources
Junior Learning Manager,Junior Learning Manager,Human Resources
Junior Development Manager,Junior Development Manager,Human Resources
Junior Career Coach,Junior Career Coach,Human Resources
Junior Executive Coach,Junior Executive Coach,Human Resources
Junior Life Coach,Junior Life Coach,Service
Junior Career Counselor,Junior Career Counselor,Service
Junior Advisor,Junior Advisor,Service
Junior Specialist,Junior Specialist,General
Junior Coordinator,Junior Coordinator,General
Junior Associate,Junior Associate,General
Junior Assistant,Junior Assistant,General
